   Permno    date           rtn
   14593    20040102      -0.004212
   14593    20040105       0.041823
   14593    20040106      -0.003608
   14593    20040107       0.022635
   14593    20040108       0.034086
   14593    20040109      -0.015411
   14593    20040112       0.031739
   14593    20040113       0.016435
   14593    20040114       0.003317
   14593    20040115      -0.055785
   14593    20040116      -0.005689
   14593    20040120       0.000440
   14593    20040121      -0.005279
   14593    20040122      -0.019018
   14593    20040123       0.017133
   14593    20040126       0.019947
   14593    20040127       0.002608
   14593    20040128      -0.023840
   14593    20040129       0.007105
   14593    20040130      -0.005291
   14593    20040202      -0.010638
   14593    20040203      -0.002688
   14593    20040204      -0.021114
   14593    20040205       0.028912
   14593    20040206       0.012935
   14593    20040209      -0.001893
   14593    20040210       0.013809
   14593    20040211       0.035683
   14593    20040212      -0.002941
   14593    20040213      -0.030763
   14593    20040217       0.006957
   14593    20040218       0.004318
   14593    20040219      -0.033964
   14593    20040220      -0.003115
   14593    20040223      -0.009375
   14593    20040224       0.007661
   14593    20040225       0.020125
   14593    20040226       0.010083
   14593    20040227       0.038194
   14593    20040301       0.004181
   14593    20040302      -0.008743
   14593    20040303       0.004620
   14593    20040304       0.051839
   14593    20040305       0.062798
   14593    20040308      -0.027674
   14593    20040309       0.042308
   14593    20040310       0.021402
   14593    20040311      -0.019147
   14593    20040312       0.015101
   14593    20040315      -0.040276
   14593    20040316      -0.023819
   14593    20040317       0.014330
   14593    20040318      -0.019855
   14593    20040319       0.007402
   14593    20040322       0.000000
   14593    20040323      -0.022042
   14593    20040324       0.008304
   14593    20040325       0.053726
   14593    20040326       0.006327
   14593    20040329       0.032175
   14593    20040330       0.000358
   14593    20040331      -0.031519
   14593    20040401       0.002589
   14593    20040402       0.014386
   14593    20040405       0.029818
   14593    20040406      -0.017302
   14593    20040407      -0.018685
   14593    20040408       0.008056
   14593    20040412       0.018525
   14593    20040413      -0.039586
   14593    20040414      -0.010769
   14593    20040415       0.099850
   14593    20040416      -0.004096
   14593    20040419      -0.028444
   14593    20040420      -0.021870
   14593    20040421       0.000000
   14593    20040422       0.001803
   14593    20040423      -0.002880
   14593    20040426      -0.020578
   14593    20040427      -0.007003
   14593    20040428      -0.018189
   14593    20040429       0.012098
   14593    20040430      -0.036982
   14593    20040503       0.011249
   14593    20040504       0.002685
   14593    20040505       0.019510
   14593    20040506      -0.002627
   14593    20040507       0.003386
   14593    20040510      -0.014623
   14593    20040511       0.032724
   14593    20040512       0.005895
   14593    20040513      -0.004029
   14593    20040514      -0.004781
   14593    20040517      -0.015521
   14593    20040518       0.015766
   14593    20040519      -0.021803
   14593    20040520       0.009067
   14593    20040521       0.014976
   14593    20040524       0.008484
   14593    20040525       0.039137
   14593    20040526       0.003520
   14593    20040527      -0.011926
   14593    20040528      -0.003905
   14593    20040601       0.000000
   14593    20040602       0.030649
   14593    20040603      -0.017981
   14593    20040604       0.013380
   14593    20040607       0.035789
   14593    20040608       0.018115
   14593    20040609      -0.004942
   14593    20040610       0.017881
   14593    20040614      -0.020169
   14593    20040615       0.018924
   14593    20040616       0.066797
   14593    20040617       0.002138
   14593    20040618       0.003048
   14593    20040621      -0.017624
   14593    20040622       0.020724
   14593    20040623       0.021212
   14593    20040624      -0.015430
   14593    20040625       0.015672
   14593    20040628      -0.035905
   14593    20040629       0.000308
   14593    20040630       0.001231
   14593    20040701      -0.007376
   14593    20040702      -0.037771
   14593    20040706      -0.004183
   14593    20040707      -0.018094
   14593    20040708      -0.008226
   14593    20040709      -0.003650
   14593    20040712      -0.029637
   14593    20040713       0.002745
   14593    20040714       0.012320
   14593    20040715       0.113252
   14593    20040716      -0.022168
   14593    20040719      -0.007143
   14593    20040720       0.007194
   14593    20040721      -0.018012
   14593    20040722       0.001898
   14593    20040723      -0.030934
   14593    20040726       0.018241
   14593    20040727       0.037428
   14593    20040728      -0.004934
   14593    20040729       0.011466
