year mon day idx
2000 12 31 274.27
2001 1 2 276.8
2001 1 3 274.79
2001 1 4 276.23
2001 1 5 277.46
2001 1 8 277.97
2001 1 9 277.62
2001 1 10 276.59
2001 1 11 276.08
2001 1 12 274.89
2001 1 16 275.22
2001 1 17 276.28
2001 1 18 277.45
2001 1 19 276.44
2001 1 22 275.92
2001 1 23 275.85
2001 1 24 275.25
2001 1 25 276.16
2001 1 26 276.11
2001 1 29 275.84
2001 1 30 277.3
2001 1 31 278.78
2001 2 1 279.73
2001 2 2 278.74
2001 2 5 279.01
2001 2 6 278.51
2001 2 7 278.86
2001 2 8 278.76
2001 2 9 279.64
2001 2 12 279.45
2001 2 13 279.17
2001 2 14 278.72
2001 2 15 277.83
2001 2 16 278.96
2001 2 20 279.2
2001 2 21 278.84
2001 2 22 278.98
2001 2 23 279.95
2001 2 26 280.57
2001 2 27 281.62
2001 2 28 282.21
2001 3 1 282.93
2001 3 2 281.78
2001 3 5 281.77
2001 3 6 281.68
2001 3 7 282.68
2001 3 8 283.06
2001 3 9 282.61
2001 3 12 282.81
2001 3 13 282.57
2001 3 14 283.85
2001 3 15 284.41
2001 3 16 284.91
2001 3 19 284.31
2001 3 20 284.94
2001 3 21 285.26
2001 3 22 286.02
2001 3 23 285.05
2001 3 26 284.58
2001 3 27 282.85
2001 3 28 282.99
2001 3 29 283.17
2001 3 30 283.84
2001 4 2 283.54
2001 4 3 283.96
2001 4 4 284.24
2001 4 5 283.67
2001 4 6 285.05
2001 4 9 284.69
2001 4 10 282.72
2001 4 11 282.45
2001 4 12 281.89
2001 4 16 280.48
2001 4 17 281.56
2001 4 18 282.75
2001 4 19 281.29
2001 4 20 281.4
2001 4 23 282.61
2001 4 24 282.51
2001 4 25 282.1
2001 4 26 283.1
2001 4 27 281.64
2001 4 30 282.07
2001 5 1 282.68
2001 5 2 282.93
2001 5 3 284.04
2001 5 4 284.39
2001 5 7 284.38
2001 5 8 284.25
2001 5 9 284.88
2001 5 10 283.58
2001 5 11 280.99
2001 5 14 281.9
2001 5 15 281.39
2001 5 16 281.89
2001 5 17 282.23
2001 5 18 282.51
2001 5 21 282.74
2001 5 22 282.78
2001 5 23 282.85
2001 5 24 281.74
2001 5 25 281.82
2001 5 29 281.93
2001 5 30 282.02
2001 5 31 283.85
2001 6 1 284.26
2001 6 4 284.82
2001 6 5 285.7
