date       ibm      bnd3a
20010102 -0.002206 0.009182201
20010103 0.115696 -0.007288054
20010104 -0.015192 0.005226682
20010105 0.008719 0.004442927
20010108 -0.004654 0.001836416
20010109 -0.010688 -0.001259922
20010110 0.009453 -0.003717007
20010111 0.002676 -0.001845586
20010112 0.001334 -0.004319661
20010116 -0.011326 0.001199760
20010117 0.042453 0.003844066
20010118 0.120233 0.004225893
20010119 0.027121 -0.003646938
20010122 -0.024157 -0.001882831
20010123 0.004606 -0.0002537289
20010124 0.012607 -0.002177464
20010125 0.00283 0.003300632
20010126 0.031038 -0.0001810709
20010129 0.00694 -0.0009783496
20010130 0.014176 0.005278965
20010131 -0.039533 0.005322988
20010201 0.018304 0.003401912
20010202 -0.033143 -0.003545405
20010205 0.017684 0.0009681758
20010206 0.017555 -0.001793658
20010207 0.024958 0.001255898
20010208 -0.024036 -0.0003586672
20010209 -0.018405 0.003151865
20010212 0.025893 -0.0006796759
20010213 -0.010009 -0.001002470
20010214 0.011868 -0.001613222
20010215 0.014596 -0.003198278
20010216 -0.015242 0.004058987
20010220 -0.030435 0.0008599685
20010221 -0.035785 -0.001290230
20010222 0.012929 0.000501954
20010223 -0.044995 0.003470921
20010226 0.0125 0.002212232
20010227 -0.025736 0.003735396
20010228 -0.026221 0.00209283
20010301 0.061562 0.002548043
20010302 -0.035361 -0.004072893
20010305 0.025513 -3.548931e-05
20010306 0.01039 -0.0003194605
20010307 0.014623 0.003543841
20010308 -0.010042 0.001343373
20010309 -0.067437 -0.001591034
20010312 -0.038272 0.0007074387
20010313 0.03037 -0.0008489866
20010314 -0.034861 0.004519622
20010315 0.006318 0.001970929
20010316 -0.057137 0.001756482
20010319 0.027747 -0.002108149
20010320 -0.046436 0.002213440
20010321 0.008834 0.001122413
20010322 0.000224 0.002660693
20010323 0.049495 -0.003397135
20010326 0.020212 -0.001650194
20010327 0.042977 -0.006097687
20010328 -0.051156 0.0004948395
20010329 0.006673 0.0006358627
20010330 0.011995 0.002363275
20010402 -0.015804 -0.001057492
20010403 -0.045109 0.001480176
20010404 0.017812 0.0009855685
20010405 0.0675 -0.002007361
20010406 -0.002647 0.004853013
20010409 -0.019908 -0.001263735
20010410 0.031771 -0.00694386
20010411 -0.016355 -0.0009554648
20010412 -0.012624 -0.00198462
20010416 0.005717 -0.005014503
20010417 0.030491 0.003843148
20010418 0.068205 0.004217546
20010419 0.074836 -0.005176949
20010420 0.003145 0.0003909791
20010423 -0.024645 0.004290711
20010424 0.005982 -0.0003539071
20010425 0.019349 -0.001452330
20010426 -0.009665 0.003538574
20010427 0.021628 -0.005170532
20010430 -0.009122 0.001525607
20010501 0.029269 0.002160249
20010502 -0.026243 0.0008840014
20010503 -0.014731 0.003915556
20010504 0.018997 0.001231462
20010507 0.000345 -3.51636e-05
20010508 0.016739 -0.0004572393
20010509 -0.006117 0.002213906
20010510 -0.015216 -0.004573769
20010511 -0.029427 -0.009175189
20010514 0.006708 0.003233317
20010515 0.009062 -0.001810791
20010516 0.019546 0.001775316
20010517 -0.006304 0.001205417
20010518 0.020596 0.0009916068
20010521 0.013624 0.0008137992
20010522 -0.008653 0.0001414627
20010523 -0.005169 0.0002475116
20010524 0.018739 -0.003932062
20010525 -0.01505 0.0002839094
20010529 -0.021477 0.0003902439
20010530 -0.022729 0.0003191772
20010531 -0.007545 0.006467939
20010601 0.00975 0.001443383
20010604 0.006644 0.001968089
20010605 0.029303 0.003084907
20010606 0.004531 0.0006298331
20010607 -0.002128 -0.001925737
20010608 -0.009808 -0.001859226
20010611 0.010853 0.003050119
20010612 -0.000937 0.002307693
20010613 -0.006055 0.0001396892
20010614 -0.006779 0.002232377
20010615 -0.018575 -0.0009411765
20010618 0.005898 0.0003486872
20010619 0.004988 -0.0008021624
20010620 -0.015239 0.001324965
20010621 -0.004333 0.001114400
20010622 0.002398 0.003543885
20010625 -0.001949 -0.0005550737
