date          ibm           vw         ew
19620703     0.00429      0.0113      0.0131
19620705    -0.00427      0.0060      0.0069
19620706    -0.01429     -0.0107     -0.0064
19620709     0.01522      0.0067      0.0018
19620710     0.02427      0.0127      0.0250
19620711     0.04355      0.0098      0.0087
19620712     0.01235      0.0055      0.0123
19620713    -0.00726     -0.0028      0.0007
19620716     0.01661      0.0001      0.0003
19620717    -0.03235     -0.0174     -0.0129
19620718    -0.01317     -0.0102     -0.0104
19620719     0.00616      0.0039      0.0033
19620720     0.01224      0.0060      0.0034
19620723     0.00269     -0.0003      0.0001
19620724    -0.02614     -0.0081     -0.0068
19620725     0.01170      0.0018     -0.0017
19620726     0.00544      0.0050      0.0056
19620727     0.01725      0.0075      0.0045
19620730     0.03060      0.0100      0.0073
19620731    -0.00097      0.0070      0.0053
19620801    -0.02778     -0.0070     -0.0042
19620802     0.02525      0.0035      0.0022
19620803    -0.00194      0.0023      0.0025
19620806    -0.01299     -0.0061     -0.0029
19620807    -0.01579     -0.0060     -0.0050
19620808     0.02277      0.0034      0.0011
19620809    -0.01375     -0.0008      0.0019
19620810    -0.00199      0.0019      0.0018
19620813     0.00798      0.0021      0.0006
19620814     0.01914      0.0100      0.0059
19620815     0.00130      0.0073      0.0089
19620816    -0.00065      0.0004      0.0039
19620817     0.00841      0.0060      0.0057
19620820     0.01091      0.0060      0.0069
19620821    -0.00254     -0.0035     -0.0021
19620822     0.04137      0.0115      0.0116
19620823     0.00367     -0.0012      0.0015
19620824    -0.00365     -0.0013      0.0026
19620827    -0.00244     -0.0005      0.0003
19620828    -0.03554     -0.0110     -0.0099
19620829    -0.00635     -0.0018     -0.0015
19620830    -0.00831      0.0001      0.0023
19620831     0.02192      0.0082      0.0081
19620904    -0.02208     -0.0094     -0.0077
19620905    -0.01161     -0.0068     -0.0083
19620906     0.01305      0.0039      0.0025
19620907    -0.01482      0.0001      0.0006
19620910     0.00523      0.0006     -0.0032
19620911    -0.00586      0.0025      0.0012
19620912     0.00425      0.0043      0.0028
19620913    -0.00033     -0.0023     -0.0014
19620914     0.01239      0.0030      0.0028
19620917     0.01739      0.0026      0.0005
19620918    -0.00759     -0.0006     -0.0018
19620919    -0.01467     -0.0020     -0.0026
19620920    -0.00906     -0.0067     -0.0063
19620921    -0.01568     -0.0143     -0.0145
19620924    -0.03915     -0.0183     -0.0180
19620925     0.02003      0.0057      0.0034
19620926    -0.03724     -0.0139     -0.0114
19620927    -0.01547     -0.0063     -0.0051
19620928     0.01000      0.0068      0.0041
19621001    -0.03713     -0.0128     -0.0135
19621002     0.02938      0.0104      0.0062
19621003    -0.00535      0.0015      0.0017
19621004     0.02654      0.0079      0.0034
19621005     0.00699      0.0061      0.0045
19621008    -0.00139      0.0002      0.0016
19621009     0.01807      0.0031      0.0011
19621010    -0.01945      0.0000      0.0001
19621011    -0.00870     -0.0028     -0.0021
19621012    -0.00211     -0.0017     -0.0014
19621015     0.03308      0.0047     -0.0003
19621016    -0.02589     -0.0031     -0.0036
19621017     0.01119     -0.0044     -0.0076
19621018    -0.01763     -0.0093     -0.0103
19621019    -0.01971     -0.0132     -0.0130
19621022    -0.01472     -0.0117     -0.0165
19621023    -0.03790     -0.0264     -0.0263
19621024     0.03030      0.0281      0.0098
19621025    -0.00441     -0.0073      0.0026
19621026    -0.02068     -0.0028     -0.0047
19621029     0.03922      0.0220      0.0228
19621030     0.02104      0.0147      0.0115
19621031    -0.01635      0.0002      0.0015
19621101     0.01734      0.0099      0.0067
19621102     0.01491      0.0106      0.0093
19621105     0.01400      0.0105      0.0105
19621107    -0.00069      0.0072      0.0073
19621108    -0.01661     -0.0058     -0.0030
19621109     0.01689      0.0099      0.0112
19621112     0.03391      0.0138      0.0173
19621113    -0.01807     -0.0019     -0.0003
19621114     0.02113      0.0120      0.0120
19621115    -0.00534     -0.0024     -0.0003
19621116     0.01611      0.0029      0.0044
19621119    -0.01717     -0.0046     -0.0026
19621120     0.01176      0.0099      0.0062
19621121     0.00232      0.0072      0.0065
19621123     0.02850      0.0118      0.0105
19621126     0.00193     -0.0028     -0.0028
19621127     0.01543      0.0073      0.0080
19621128     0.00697      0.0075      0.0103
19621129     0.00881      0.0045      0.0059
19621130    -0.00623     -0.0020      0.0026
19621203    -0.01757     -0.0040     -0.0048
19621204     0.02235      0.0107      0.0094
19621205    -0.00375      0.0042      0.0029
19621206    -0.00063      0.0007     -0.0015
19621207    -0.00251      0.0019     -0.0026
19621210    -0.02138     -0.0129     -0.0144
19621211    -0.00386      0.0005     -0.0018
19621212     0.01613      0.0046      0.0033
19621213    -0.01460     -0.0034     -0.0036
19621214     0.00387      0.0021     -0.0003
19621217    -0.01155     -0.0036     -0.0070
19621218    -0.00714     -0.0048     -0.0068
19621219     0.02583      0.0076      0.0013
19621220     0.00000      0.0033      0.0020
19621221    -0.01753     -0.0021     -0.0024
19621224     0.02271     -0.0006     -0.0005
19621226    -0.00063      0.0062      0.0038
19621227    -0.00698     -0.0014     -0.0026
19621228     0.00384      0.0006      0.0005
19621231    -0.00637      0.0024      0.0031
19630102    -0.01346     -0.0050      0.0091
19630103     0.03054      0.0165      0.0213
19630104     0.00126      0.0069      0.0139
19630107    -0.00819      0.0009      0.0053
19630108     0.02476      0.0090      0.0092
19630109     0.00062     -0.0015      0.0015
19630110     0.00681      0.0020      0.0038
19630111     0.00308      0.0026      0.0042
19630114     0.01594      0.0057      0.0058
19630115     0.00181     -0.0009     -0.0002
19630116    -0.01566     -0.0068     -0.0050
19630117     0.01285      0.0066      0.0049
19630118    -0.00302      0.0005      0.0022
19630121     0.00364      0.0015      0.0013
19630122     0.00181      0.0028      0.0049
19630123    -0.00121      0.0023      0.0025
19630124     0.00422      0.0017      0.0041
19630125     0.00601      0.0025      0.0013
19630128     0.01434      0.0039      0.0023
19630129    -0.00648      0.0004     -0.0006
19630130    -0.00533     -0.0054     -0.0046
19630131     0.01013      0.0046      0.0046
19630201     0.00000      0.0019      0.0026
19630204    -0.00826     -0.0020     -0.0018
19630205     0.00416     -0.0007     -0.0019
19630206    -0.00653      0.0047      0.0031
19630207     0.00179     -0.0030     -0.0009
19630208     0.00239      0.0005      0.0010
19630211    -0.00536     -0.0048     -0.0028
19630212     0.00180      0.0003     -0.0003
19630213    -0.00239      0.0048      0.0056
19630214     0.00060      0.0032      0.0038
