year mon tb3m tb6m
1958 12 2.77 3.01
1959 1 2.82 3.09
1959 2 2.7 3.13
1959 3 2.8 3.13
1959 4 2.95 3.27
1959 5 2.84 3.33
1959 6 3.21 3.52
1959 7 3.2 3.82
1959 8 3.38 3.87
1959 9 4.04 4.7
1959 10 4.05 4.53
1959 11 4.15 4.54
1959 12 4.49 4.85
1960 1 4.35 4.74
1960 2 3.96 4.3
1960 3 3.31 3.61
1960 4 3.23 3.55
1960 5 3.29 3.58
1960 6 2.46 2.74
1960 7 2.3 2.71
1960 8 2.3 2.59
1960 9 2.48 2.83
1960 10 2.3 2.73
1960 11 2.37 2.66
1960 12 2.25 2.5
1961 1 2.24 2.47
1961 2 2.42 2.6
1961 3 2.39 2.54
1961 4 2.29 2.47
1961 5 2.29 2.45
1961 6 2.33 2.54
1961 7 2.24 2.45
1961 8 2.39 2.66
1961 9 2.28 2.68
1961 10 2.3 2.66
1961 11 2.48 2.7
1961 12 2.6 2.88
1962 1 2.72 2.94
1962 2 2.73 2.93
1962 3 2.72 2.87
1962 4 2.73 2.83
1962 5 2.69 2.78
1962 6 2.73 2.8
1962 7 2.92 3.08
1962 8 2.82 2.99
1962 9 2.78 2.93
1962 10 2.74 2.84
1962 11 2.83 2.89
1962 12 2.87 2.91
1963 1 2.91 2.96
1963 2 2.92 2.98
1963 3 2.89 2.95
1963 4 2.9 2.98
1963 5 2.93 3.01
1963 6 2.99 3.08
1963 7 3.18 3.31
1963 8 3.32 3.44
1963 9 3.38 3.5
1963 10 3.45 3.58
1963 11 3.52 3.65
1963 12 3.52 3.66
1964 1 3.52 3.64
1964 2 3.53 3.67
1964 3 3.54 3.72
1964 4 3.47 3.66
1964 5 3.48 3.6
1964 6 3.48 3.56
1964 7 3.46 3.56
1964 8 3.5 3.61
1964 9 3.53 3.68
1964 10 3.57 3.72
1964 11 3.64 3.81
1964 12 3.84 3.95
1965 1 3.81 3.94
1965 2 3.93 4
1965 3 3.93 4
1965 4 3.93 3.99
1965 5 3.89 3.95
1965 6 3.8 3.86
1965 7 3.84 3.9
1965 8 3.84 3.95
1965 9 3.92 4.07
1965 10 4.03 4.19
1965 11 4.09 4.24
1965 12 4.38 4.55
1966 1 4.59 4.71
1966 2 4.65 4.82
1966 3 4.59 4.78
1966 4 4.62 4.74
1966 5 4.64 4.81
1966 6 4.5 4.65
1966 7 4.8 4.93
1966 8 4.96 5.27
1966 9 5.37 5.79
1966 10 5.35 5.62
1966 11 5.32 5.54
1966 12 4.96 5.07
1967 1 4.72 4.74
1967 2 4.56 4.59
1967 3 4.26 4.22
1967 4 3.84 3.89
1967 5 3.6 3.8
1967 6 3.54 3.89
1967 7 4.21 4.72
1967 8 4.27 4.83
1967 9 4.42 4.96
1967 10 4.56 5.07
1967 11 4.73 5.25
1967 12 4.97 5.49
