OFTIC    TICKER     ANNDATS    MEASURE    PDICITY     VALUE
 CAT      CAT      19830414      EPS        QTR      -0.2438
 CAT      CAT      19830711      EPS        QTR      -0.1363
 CAT      CAT      19831019      EPS        QTR      -0.0925
 CAT      CAT      19840120      EPS        QTR       0.0050
 CAT      CAT      19840413      EPS        QTR      -0.1450
 CAT      CAT      19840710      EPS        QTR       0.0450
 CAT      CAT      19841019      EPS        QTR      -0.0963
 CAT      CAT      19850121      EPS        QTR       0.7687
 CAT      CAT      19850411      EPS        QTR      -0.0913
 CAT      CAT      19850711      EPS        QTR       0.0638
 CAT      CAT      19851017      EPS        QTR       0.1663
 CAT      CAT      19860121      EPS        QTR       0.1688
 CAT      CAT      19860416      EPS        QTR       0.1412
 CAT      CAT      19860711      EPS        QTR       0.1750
 CAT      CAT      19861020      EPS        QTR      -0.0325
 CAT      CAT      19870123      EPS        QTR      -0.0638
 CAT      CAT      19870416      EPS        QTR      -0.0450
 CAT      CAT      19870713      EPS        QTR       0.1500
 CAT      CAT      19871020      EPS        QTR       0.1837
 CAT      CAT      19880123      EPS        QTR       0.1713
 CAT      CAT      19880414      EPS        QTR       0.1450
 CAT      CAT      19880714      EPS        QTR       0.1800
 CAT      CAT      19881022      EPS        QTR       0.2338
 CAT      CAT      19890120      EPS        QTR       0.2013
 CAT      CAT      19890424      EPS        QTR       0.1737
 CAT      CAT      19890725      EPS        QTR       0.1737
 CAT      CAT      19891023      EPS        QTR       0.1337
 CAT      CAT      19900121      EPS        QTR       0.1312
 CAT      CAT      19900424      EPS        QTR       0.1213
 CAT      CAT      19900721      EPS        QTR       0.0575
 CAT      CAT      19901020      EPS        QTR       0.0675
 CAT      CAT      19910122      EPS        QTR       0.0137
 CAT      CAT      19910420      EPS        QTR      -0.0400
 CAT      CAT      19910720      EPS        QTR      -0.0200
 CAT      CAT      19911021      EPS        QTR      -0.0463
 CAT      CAT      19920122      EPS        QTR      -0.3950
 CAT      CAT      19920422      EPS        QTR      -0.1637
 CAT      CAT      19920718      EPS        QTR      -0.0650
 CAT      CAT      19921023      EPS        QTR       0.0287
 CAT      CAT      19930201      EPS        QTR      -0.0788
 CAT      CAT      19930422      EPS        QTR       0.0425
 CAT      CAT      19930723      EPS        QTR       0.0825
 CAT      CAT      19931022      EPS        QTR       0.1188
 CAT      CAT      19940121      EPS        QTR       0.1825
 CAT      CAT      19940420      EPS        QTR       0.2363
 CAT      CAT      19940721      EPS        QTR       0.2950
 CAT      CAT      19941024      EPS        QTR       0.3000
 CAT      CAT      19950119      EPS        QTR       0.3450
 CAT      CAT      19950419      EPS        QTR       0.3750
