gas oil
1.192 26.85
1.168 24.08
1.139 21.41
1.106 21.3
1.078 22.12
1.054 19.38
1.025 18.73
1.045 19.86
1.043 19.89
1.047 20.3
1.052 19.58
1.066 19.63
1.069 20.89
1.09 21.48
1.104 21.19
1.113 21.23
1.121 21.69
1.129 20.95
1.14 21.04
1.138 21.21
1.135 20.63
1.126 19.84
1.114 20.08
1.104 20.21
1.098 20.8
1.094 21.43
1.091 21.91
1.091 21.4
1.099 21.46
1.112 21.5
1.124 21.44
1.124 21.99
1.127 21.98
1.12 21.84
1.11 21.54
1.097 21.85
1.092 22.24
1.089 22.41
1.084 23.08
1.088 23.82
1.091 23.46
1.091 23.32
1.102 23.47
1.104 22.57
1.099 22.04
1.099 21.49
1.091 20.55
1.075 19.64
1.063 19.2
1.053 18.68
1.042 19.11
1.026 18.41
1.014 18.81
1.006 18.66
0.995 19.05
1.004 19.42
1.011 19.49
1.014 18.62
1.012 18.51
1.013 18.55
1.01 18.76
1.015 19.1
1.013 19.09
1.026 19.73
1.051 20.43
1.058 20.06
1.072 20.06
1.089 20.63
1.102 20.86
1.118 20.8
1.12 20.49
1.128 21.98
1.143 22.38
1.151 22.35
1.153 22.26
1.149 22.68
1.147 22.03
1.139 21.48
1.132 21.58
1.128 21.95
1.126 21.95
1.123 21.34
1.116 21.18
1.123 21.39
1.121 21.43
1.121 21.66
1.124 21.94
1.123 22.21
1.118 21.71
1.115 21.81
1.115 21.9
1.113 22.25
1.113 21.58
1.12 20.95
1.12 20.52
1.112 20.37
1.106 20.35
1.098 20.16
1.089 19.38
1.078 19.01
1.074 19.38
1.069 19.91
1.065 19.63
1.066 19
1.061 18.62
1.055 18.61
1.055 19.9
1.062 20.22
1.053 20.13
1.047 19.51
1.042 20.4
1.048 20.69
1.058 20.45
1.056 20.14
1.057 20
1.068 20.44
1.079 20.37
1.079 20.28
1.086 19.95
1.086 20.3
1.097 20.47
1.106 20.06
1.106 19.43
1.107 19.84
1.104 19.95
1.101 19.43
1.095 18.76
1.089 18.52
1.086 18.61
1.081 18.02
1.075 17.72
1.069 17.54
1.062 18.18
1.06 17.67
1.059 17.87
1.065 17.84
1.062 18.49
1.055 18.1
1.051 16.96
1.045 16.94
1.047 17.67
1.092 18.33
1.09 18.46
1.093 18.57
1.092 18.12
1.084 17.37
1.075 17.29
1.064 16.71
1.058 16.75
1.051 16.08
1.036 15.21
1.018 14.68
1.003 14.31
0.999 14.4
